	Label name	IoU
0	road	tensor(0.81850296, device='cuda:0')
1	drivable fallback	tensor(0.36210930, device='cuda:0')
2	sidewalk	tensor(0.04830851, device='cuda:0')
3	non-drivable fallback	tensor(0.11110023, device='cuda:0')
4	person/animal	tensor(0.05841020, device='cuda:0')
5	rider	tensor(0.12893409, device='cuda:0')
6	motorcycle	tensor(0.18225929, device='cuda:0')
7	bicycle	tensor(0.01784914, device='cuda:0')
8	autorickshaw	tensor(0.14283706, device='cuda:0')
9	car	tensor(0.24780962, device='cuda:0')
10	truck	tensor(0.08788972, device='cuda:0')
11	bus	tensor(0.02281631, device='cuda:0')
12	vehicle fallback	tensor(0.06662038, device='cuda:0')
13	curb	tensor(0.20623468, device='cuda:0')
14	wall	tensor(0.05533753, device='cuda:0')
15	fence	tensor(0.01576935, device='cuda:0')
16	guard rail	tensor(0.05176524, device='cuda:0')
17	billboard	tensor(0.06025134, device='cuda:0')
18	traffic sign	tensor(0.01373482, device='cuda:0')
19	traffic light	tensor(0.01199296, device='cuda:0')
20	pole	tensor(0.08591033, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.11880087, device='cuda:0')
22	building	tensor(0.21752381, device='cuda:0')
23	bridge/tunnel	tensor(0.07182289, device='cuda:0')
24	vegetation	tensor(0.60281426, device='cuda:0')
25	sky	tensor(0.86220747, device='cuda:0')
